"name","description","execution mode","location","deprecated by"
"apoc.mongodb.get(String host,String db,String collection,java.util.Map<String,Object> query)","apoc.mongodb.get(host-or-port,db-or-null,collection-or-null,query-or-null) yield value - perform a find operation on mongodb collection","DEFAULT","apoc.mongodb.MongoDB","N/A"
"apoc.mongodb.count(String host,String db,String collection,java.util.Map<String,Object> query)","apoc.mongodb.count(host-or-port,db-or-null,collection-or-null,query-or-null) yield value - perform a find operation on mongodb collection","DEFAULT","apoc.mongodb.MongoDB","N/A"
"apoc.mongodb.first(String host,String db,String collection,java.util.Map<String,Object> query)","apoc.mongodb.first(host-or-port,db-or-null,collection-or-null,query-or-null) yield value - perform a first operation on mongodb collection","DEFAULT","apoc.mongodb.MongoDB","N/A"
"apoc.mongodb.find(String host,String db,String collection,java.util.Map<String,Object> query,java.util.Map<String,Object> project,java.util.Map<String,Object> sort)","apoc.mongodb.find(host-or-port,db-or-null,collection-or-null,query-or-null,projection-or-null,sort-or-null) yield value - perform a find,project,sort operation on mongodb collection","DEFAULT","apoc.mongodb.MongoDB","N/A"
"apoc.mongodb.insert(String host,String db,String collection,java.util.List<java.util.Map<String,Object>> documents)","apoc.mongodb.insert(host-or-port,db-or-null,collection-or-null,list-of-maps) - inserts the given documents into the mongodb collection","DEFAULT","apoc.mongodb.MongoDB","N/A"
"apoc.mongodb.delete(String host,String db,String collection,java.util.Map<String,Object> query)","apoc.mongodb.delete(host-or-port,db-or-null,collection-or-null,list-of-maps) - inserts the given documents into the mongodb collection","DEFAULT","apoc.mongodb.MongoDB","N/A"
"apoc.mongodb.update(String host,String db,String collection,java.util.Map<String,Object> query,java.util.Map<String,Object> update)","apoc.mongodb.update(host-or-port,db-or-null,collection-or-null,list-of-maps) - inserts the given documents into the mongodb collection","DEFAULT","apoc.mongodb.MongoDB","N/A"
