"name","description","execution mode","location","deprecated by"
"apoc.export.cypherAll(String file,java.util.Map<String,Object> config)","apoc.export.cypherAll(file,config) - exports whole database incl. indexes as cypher statements to the provided file","DEFAULT","apoc.export.Export","N/A"
"apoc.export.cypherData(java.util.List<org.neo4j.graphdb.Node> nodes,java.util.List<org.neo4j.graphdb.Relationship> rels,String file,java.util.Map<String,Object> config)","apoc.export.cypherData(nodes,rels,file,config) - exports given nodes and relationships incl. indexes as cypher statements to the provided file","DEFAULT","apoc.export.Export","N/A"
"apoc.export.cypherGraph(java.util.Map<String,Object> graph,String file,java.util.Map<String,Object> config)","apoc.export.cypherGraph(graph,file,config) - exports given graph object incl. indexes as cypher statements to the provided file","DEFAULT","apoc.export.Export","N/A"
"apoc.export.cypherQuery(String query,String file,java.util.Map<String,Object> config)","apoc.export.cypherQuery(query,file,config) - exports nodes and relationships from the cypher statement incl. indexes as cypher statements to the provided file","DEFAULT","apoc.export.Export","N/A"
