"name","description","execution mode","location","deprecated by"
"apoc.meta.stats()","apoc.meta.stats  yield labelCount, relTypeCount, propertyKeyCount, nodeCount, relCount, labels, relTypes, stats | returns the information stored in the transactional database statistics","DEFAULT","apoc.meta.Meta","N/A"
"apoc.meta.data()","apoc.meta.data  - examines a subset of the graph to provide a tabular meta information","DEFAULT","apoc.meta.Meta","N/A"
"apoc.meta.graph()","apoc.meta.graph - examines the full graph to create the meta-graph","DEFAULT","apoc.meta.Meta","N/A"
"apoc.meta.graphSample(Long sample)","DEPRECATED apoc.meta.graphSample(sampleSize) - examines a sample graph to create the meta-graph, default sampleSize is 100","DEFAULT","apoc.meta.Meta","N/A"
"apoc.meta.subGraph(java.util.Map<String,Object> config)","apoc.meta.subGraph({labels:[labels],rels:[rel-types], excludes:[labels,rel-types]}) - examines a sample sub graph to create the meta-graph","DEFAULT","apoc.meta.Meta","N/A"
"apoc.meta.type(Object value)","apoc.meta.type(value) - type name of a value (INTEGER,FLOAT,STRING,BOOLEAN,RELATIONSHIP,NODE,PATH,NULL,UNKNOWN,MAP,LIST)","N/A","apoc.meta.Meta","N/A"
"apoc.meta.typeName(Object value)","apoc.meta.typeName(value) - type name of a value (INTEGER,FLOAT,STRING,BOOLEAN,RELATIONSHIP,NODE,PATH,NULL,UNKNOWN,MAP,LIST)","N/A","apoc.meta.Meta","N/A"
"apoc.meta.types(Object properties)","apoc.meta.types(node-relationship-map)  - returns a map of keys to types","N/A","apoc.meta.Meta","N/A"
"apoc.meta.isType(Object value,String type)","apoc.meta.isType(value,type) - returns a row if type name matches none if not (INTEGER,FLOAT,STRING,BOOLEAN,RELATIONSHIP,NODE,PATH,NULL,UNKNOWN,MAP,LIST)","N/A","apoc.meta.Meta","N/A"
