"name","description","execution mode","location","deprecated by"
"apoc.date.expire(org.neo4j.graphdb.Node node,long time,String timeUnit)","CALL apoc.date.expire(node,time,'time-unit') - expire node in given time by setting :TTL label and `ttl` property","WRITE","apoc.date.Date","N/A"
"apoc.date.toYears(Object value,String format)","toYears(timestap) or toYears(date[,format]) converts timestamp into floating point years","N/A","apoc.date.Date","N/A"
"apoc.date.fields(String date,String pattern)","apoc.date.fields('2012-12-23',('yyyy-MM-dd')) - return columns and a map representation of date parsed with the given format with entries for years,months,weekdays,days,hours,minutes,seconds,zoneid","N/A","apoc.date.Date","N/A"
"apoc.date.format(long time,String unit,String format,String timezone)","apoc.date.format(12345,('ms|s|m|h|d'),('yyyy-MM-dd HH:mm:ss zzz'),('TZ')) get string representation of time value optionally using the specified unit (default ms) using specified format (default ISO) and specified time zone (default current TZ)","N/A","apoc.date.Date","N/A"
"apoc.date.parse(String time,String unit,String format,String timezone)","apoc.date.parse('2012-12-23','ms|s|m|h|d','yyyy-MM-dd') parse date string using the specified format into the specified time unit","N/A","apoc.date.Date","N/A"
